zinc_id,smiles
ZINC000008217411,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000008219992,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)[C@@H]2O
ZINC000008220699,O=CCCl
ZINC000008234383,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000008234384,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@]43C)[C@@H]1CCC2=O
ZINC000008383206,O=C(O)CCc1ccc(O)cc1
ZINC000008855117,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ZINC000009133172,Cc1c(OCC(F)(F)F)ccnc1C[S@](=O)c1nc2ccc(O)cc2[nH]1
ZINC000012493465,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000012494987,CN1C(=O)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C[C@@H]1c1cccnc1
ZINC000012495031,CN1CCC[C@H]1c1ccc[n+]([C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1
ZINC000012495314,CNC[C@H](O)c1ccc(OS(=O)(=O)O)c(O)c1
ZINC000012496115,COc1cc([C@@H](CO)OS(=O)(=O)O)ccc1O
ZINC000012496118,COc1cc([C@H](CO)OS(=O)(=O)O)ccc1O
ZINC000012496345,COc1cc2c(cc1O[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
ZINC000012496781,C[C@]12CC[C@@H]3c4ccc(O[C@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
ZINC000012496833,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CC[C@@H]1O
ZINC000012496837,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CC[C@H]1O
ZINC000013282550,C[N+]1([O-])CCC[C@@H]1c1cccnc1
ZINC000013415989,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1=O
ZINC000013433448,C/C=C\CC/C=C\CCC(=O)OC
ZINC000013449409,COc1cc2c(cc1O)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2
ZINC000013449412,COc1cc2c(cc1O)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2
ZINC000013449462,COc1cc2c(cc1O)C[C@H](CC1CCN(Cc3ccccc3)CC1)C2=O
ZINC000013449465,COc1cc2c(cc1O)C[C@@H](CC1CCN(Cc3ccccc3)CC1)C2=O
ZINC000013509425,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
ZINC000013517144,Cn1c(=O)[nH]c2nc[nH]c2c1=O
ZINC000013517187,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
ZINC000013520815,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
ZINC000013559434,COc1ccc2[nH]c(S(=O)(=O)Cc3ncc(C)c(OC)c3C)nc2c1
ZINC000013744633,COc1cc2c(cc1OC)C(=O)[C@H](CC1CCNCC1)C2
ZINC000013744635,COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCNCC1)C2
ZINC000013761818,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(CO)cc2)cc1
ZINC000013829478,O=C(O)c1ccccc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000014089740,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5
ZINC000014489023,CC(C)(CC#N)O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000014489025,CC(C)(CC#N)O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000014489027,CC(C)(CC#N)O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000014489029,CC(C)(CC#N)O[C@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC000018043251,Cn1c(=O)c2[nH]cnc2n(C)c1=O
ZINC000018153302,O=c1[nH]cnc2[nH]cnc12
ZINC000021981188,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc13
ZINC000021981190,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc13
ZINC000021981222,Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000021981235,Cc1c(OCC(F)(F)F)ccnc1CS(=O)(=O)c1nc2ccccc2[nH]1
ZINC000021981288,COc1c(C)cnc(C[S@@](=O)c2nc3cc(O)ccc3[nH]2)c1C
ZINC000021981290,COc1c(C)cnc(C[S@](=O)c2nc3cc(O)ccc3[nH]2)c1C
ZINC000021981408,CNC[C@@H](c1ccc(OC)cc1)C1(O)CCCCC1
ZINC000022055131,CN1C(=O)CC[C@@H]1c1ccc[n+]([C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]2O)c1
ZINC000022055135,CN1C(=O)CC[C@@H]1c1ccc[n+]([C@H]2O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]2O)c1
ZINC000022055139,CN1C(=O)CC[C@H]1c1ccc[n+]([C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]2O)c1
ZINC000022055143,CN1C(=O)CC[C@H]1c1ccc[n+]([C@H]2O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]2O)c1
ZINC000022060952,Cc1cc(=O)[nH]c2c1NC(=O)c1cccnc1N2C1CC1
ZINC000022061023,CC(C)c1cc(O)cc(C(C)C)c1O
ZINC000022061252,O=C1NC(=O)[C@H](N2C(=O)c3ccccc3C2=O)C[C@H]1O
ZINC000022061255,O=C1NC(=O)[C@H](N2C(=O)c3ccccc3C2=O)C[C@@H]1O
ZINC000022061258,O=C1NC(=O)[C@H](O)C[C@@H]1N1C(=O)c2ccccc2C1=O
ZINC000022061261,O=C1NC(=O)[C@@H](N2C(=O)c3ccccc3C2=O)C[C@@H]1O
ZINC000022061293,CC(C)[C@@H](C(=O)O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(=O)CC[C@@H](C)O
ZINC000022061296,CC(C)[C@@H](C(=O)O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(=O)CC[C@H](C)O
ZINC000022065576,COC(=O)[C@H](c1ccccc1Cl)N1CC[C@@H]2SC(=O)C=C2C1
ZINC000022066124,CC/C=C(\CCC)C(=O)O
ZINC000026005230,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1
ZINC000026249456,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CO)CS[C@H]12)c1csc(N)n1
ZINC000027644800,O=C(O)CCC/C=C\C[C@H]1[C@H](/C=C/C(F)(F)COc2ccccc2)[C@H](O)C[C@H]1O
ZINC000027644806,O=C(O)CCC/C=C\C[C@@H]1[C@@H](O)C[C@@H](O)[C@H]1/C=C/C(F)(F)COc1ccccc1
ZINC000027644813,O=C(O)CCC/C=C\C[C@H]1[C@H](/C=C/C(F)(F)COc2ccccc2)[C@@H](O)C[C@H]1O
ZINC000027644820,O=C(O)CCC/C=C\C[C@@H]1[C@@H](O)C[C@H](O)[C@H]1/C=C/C(F)(F)COc1ccccc1
ZINC000028361970,O=C1CC[C@@H](N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1
ZINC000028361975,O=C1CC[C@H](N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1
ZINC000028631193,CCOC(=O)[C@@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
ZINC000029566455,C[C@@H](NC(N)=O)c1cc2ccccc2s1
ZINC000029566459,C[C@H](NC(N)=O)c1cc2ccccc2s1
ZINC000030731156,N=C(O)OC[C@@H](C=O)c1ccccc1
ZINC000030731160,N=C(O)OC[C@H](C=O)c1ccccc1
ZINC000030731184,OC1=N[C@@H](O)[C@@H](c2ccccc2)CO1
ZINC000030731188,OC1=N[C@H](O)[C@@H](c2ccccc2)CO1
ZINC000030731193,OC1=N[C@@H](O)[C@H](c2ccccc2)CO1
ZINC000030731196,OC1=N[C@H](O)[C@H](c2ccccc2)CO1
ZINC000030731200,O=C1NC(=O)[C@@H](c2ccccc2)CO1
ZINC000030731204,O=C1NC(=O)[C@H](c2ccccc2)CO1
ZINC000030731319,CN1CC[C@]23c4c5ccc(O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
ZINC000030731330,C/C=C\[C@H](CCC)C(=O)O
ZINC000030731335,C/C=C\[C@@H](CCC)C(=O)O
ZINC000030731379,CC(/C=C/C1=C(CO)CCCC1(C)C)=C\C=C\C(C)=C\C(=O)O
ZINC000030731384,CC(/C=C/[C@]12O[C@@]1(C)CCCC2(C)C)=C\C=C\C(C)=C\C(=O)O
ZINC000030731390,CC(/C=C/[C@@]12O[C@]1(C)CCCC2(C)C)=C\C=C\C(C)=C\C(=O)O
ZINC000031290884,O=C(O)[C@H]1O[C@@H](O[C@@H]2N=C(c3ccccc3Cl)c3cc(Cl)ccc3N=C2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000031290887,O=C(O)[C@H]1O[C@@H](O[C@H]2N=C(c3ccccc3Cl)c3cc(Cl)ccc3N=C2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000031417974,C[C@@H](C(=O)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1cccc(C(=O)c2ccccc2)c1
ZINC000031417978,C[C@H](C(=O)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1cccc(C(=O)c2ccccc2)c1
ZINC000031440253,O=C1NC(=O)[C@](C2=C[C@H](O)[C@@H](O)C=C2)(c2ccccc2)N1
ZINC000031456738,Cc1ccc(C(=O)c2ccc(CC(=O)O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)n2C)cc1
ZINC000031460590,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000031460595,O=C(O)[C@H]1O[C@@H](O[C@H]2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000031622969,C[C@@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CCC2=O
ZINC000031622970,C[C@@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@@H]3[C@@H]1CCC2=O
ZINC000031771185,COC(=O)[C@H]1[C@@H](C(=O)Oc2ccccc2)C[C@@H]2CC[C@H]1N2
ZINC000031771186,COC(=O)[C@@H]1[C@@H](C(=O)Oc2ccccc2)C[C@@H]2CC[C@H]1N2
ZINC000032209980,CN(C)CCCN1c2ccccc2S(=O)c2ccccc21
ZINC000032272342,COc1cc([C@](C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O
ZINC000032272344,COc1cc([C@@](C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O
ZINC000032272344,COc1cc([C@@](C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O
ZINC000033587910,C[C@@]12CC[C@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CCC2=O
ZINC000033903112,NCCc1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1
ZINC000033955058,CC1=C(/C=C/C(C)=C\C=C\C(C)=C/CO[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C(C)(C)CCC1
ZINC000033963989,C[C@@]12CC[C@H]3c4ccc(O)c(O)c4CC[C@@H]3[C@@H]1CCC2=O
ZINC000034141652,COC(=O)[C@H](c1ccccc1Cl)N1CC[C@H]2SC(=O)C=C2C1
ZINC000036177510,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1ccccc1)[C@H]2C(=O)O
ZINC000037253587,NCCN
ZINC000038601228,O=C1CC[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3)[C@H]1O5
ZINC000039208822,O[C@@H]1CN(Cc2ccccc2Cl)Cc2ccsc21
ZINC000039208823,O[C@H]1CN(Cc2ccccc2Cl)Cc2ccsc21
ZINC000040164488,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@@H]12
ZINC000040165222,CNC[C@H](O)c1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1
ZINC000040165238,C=C1CC[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C/C1=C\C=C1/CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
ZINC000040165239,C=C1CC[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C/C1=C\C=C1/CCC[C@@]2(C)[C@@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
ZINC000040165240,C=C1CC[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C/C1=C\C=C1/CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
ZINC000040165241,C=C1CC[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C/C1=C\C=C1/CCC[C@@]2(C)[C@@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
ZINC000040916117,Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3[C@H](O)CC[C@H]3C2)cc1
ZINC000044020714,C[C@@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@@H]3[C@H]1CCC2=O
ZINC000044964012,Oc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@H]4[C@@H](C2)NCC[C@]314
ZINC000044964014,Oc1ccc2c3c1O[C@@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)NCC[C@]314
ZINC000060183860,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)([C@@H](O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
ZINC000065739349,Clc1ccccc1C[N+]1=Cc2ccsc2CC1
ZINC000065742963,Cc1c(O)cnc2c1NC(=O)c1cccnc1N2C1CC1
ZINC000065748339,O=C1C=C2CN(Cc3ccccc3Cl)CC[C@H]2S1
ZINC000065748340,O=C1C=C2CN(Cc3ccccc3Cl)CC[C@@H]2S1
ZINC000065749696,C[C@@H](C1=Cc2ccccc2S1=O)N(O)C(N)=O
ZINC000065749697,C[C@H](C1=Cc2ccccc2S1=O)N(O)C(N)=O
ZINC000067664978,O=C(O)c1cccc2[nH]c(=O)n(Cc3ccc(-c4ccccc4-c4nnn[nH]4)cc3)c12
ZINC000067665085,CCCCC(=O)NC1(C(=O)NCc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)CCCC1
ZINC000067665433,Cc1ccc(O)c([C@H](CCNC(C)C)c2ccccc2)c1
ZINC000077287124,O=S(=O)(CCc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccccc1
ZINC000077301904,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn([C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)n2)cc1
ZINC000082105373,O=C(CSc1ccncc1)N[C@H]1C(=O)N2C(C(=O)O)=C(CO)CS[C@H]12
ZINC000082105374,O=C(CSc1ccncc1)N[C@H]1C(=O)N2C(C(=O)O)=C(CO)CS[C@@H]12
ZINC000082105375,O=C(CSc1ccncc1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CO)CS[C@@H]12
ZINC000084462581,O=c1[nH]c(O)nc2n[nH]cc12
ZINC000085479227,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000085551979,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000085552114,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000085552271,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C[C@H]1C[C@H]3O
